match_id,start_time,lobby_type,r1_hero,r1_level,r1_xp,r1_gold,r1_lh,r1_kills,r1_deaths,r1_items,r2_hero,r2_level,r2_xp,r2_gold,r2_lh,r2_kills,r2_deaths,r2_items,r3_hero,r3_level,r3_xp,r3_gold,r3_lh,r3_kills,r3_deaths,r3_items,r4_hero,r4_level,r4_xp,r4_gold,r4_lh,r4_kills,r4_deaths,r4_items,r5_hero,r5_level,r5_xp,r5_gold,r5_lh,r5_kills,r5_deaths,r5_items,d1_hero,d1_level,d1_xp,d1_gold,d1_lh,d1_kills,d1_deaths,d1_items,d2_hero,d2_level,d2_xp,d2_gold,d2_lh,d2_kills,d2_deaths,d2_items,d3_hero,d3_level,d3_xp,d3_gold,d3_lh,d3_kills,d3_deaths,d3_items,d4_hero,d4_level,d4_xp,d4_gold,d4_lh,d4_kills,d4_deaths,d4_items,d5_hero,d5_level,d5_xp,d5_gold,d5_lh,d5_kills,d5_deaths,d5_items,first_blood_time,first_blood_team,first_blood_player1,first_blood_player2,radiant_bottle_time,radiant_courier_time,radiant_flying_courier_time,radiant_tpscroll_count,radiant_boots_count,radiant_ward_observer_count,radiant_ward_sentry_count,radiant_first_ward_time,dire_bottle_time,dire_courier_time,dire_flying_courier_time,dire_tpscroll_count,dire_boots_count,dire_ward_observer_count,dire_ward_sentry_count,dire_first_ward_time,duration,radiant_win,tower_status_radiant,tower_status_dire,barracks_status_radiant,barracks_status_dire
0,1430198770,7,11,5,2098,1489,20,0,0,7,67,3,842,991,10,0,0,4,29,5,1909,1143,10,0,0,8,20,3,757,741,6,0,0,7,105,3,732,658,4,0,1,11,4,3,1058,996,12,0,0,6,42,4,1085,986,12,0,0,4,21,5,2052,1536,23,0,0,6,37,3,742,500,2,0,0,8,84,3,958,1003,3,1,0,9,7.0,1.0,9.0,,134.0,-80.0,244.0,2,2,2,0,35.0,103.0,-84.0,221.0,3,4,2,2,-52.0,2874,1,1796,0,51,0
1,1430220345,0,42,4,1188,1033,9,0,1,12,49,4,1596,993,10,0,1,7,67,4,1506,1502,18,1,0,7,37,3,669,631,7,0,0,7,26,2,415,539,1,0,0,5,39,5,1960,1384,16,0,0,8,88,3,640,566,1,0,1,5,79,3,720,1350,2,2,0,12,7,2,440,583,0,0,0,7,12,4,1470,1622,24,0,0,9,54.0,1.0,7.0,,173.0,-80.0,,2,0,2,0,-20.0,149.0,-84.0,195.0,5,4,3,1,-5.0,2463,1,1974,0,63,1
2,1430227081,7,33,4,1319,1270,22,0,0,12,98,3,1314,775,6,0,0,6,20,3,1297,909,0,1,0,6,27,5,2360,2096,26,1,1,6,4,3,1395,1627,27,0,0,9,22,5,2305,2028,19,1,1,10,66,3,1024,959,19,0,1,10,86,3,755,620,3,0,0,8,29,4,1319,667,4,0,0,7,80,3,1350,1512,25,0,0,7,224.0,0.0,3.0,,63.0,-82.0,,2,5,2,1,-39.0,45.0,-77.0,221.0,3,4,3,1,13.0,2130,0,0,1830,0,63
3,1430263531,1,29,4,1779,1056,14,0,0,5,30,2,539,539,1,0,0,6,75,5,2037,1139,15,0,0,6,37,2,591,499,0,0,0,6,41,3,712,1075,12,0,0,6,96,5,1878,1174,17,0,0,6,48,3,732,1468,22,0,0,10,15,4,1681,1051,11,0,0,7,102,2,674,537,1,0,0,7,20,2,510,499,0,0,0,7,,,,,208.0,-75.0,,0,3,2,0,-30.0,124.0,-80.0,184.0,0,4,2,0,27.0,1459,0,1920,2047,50,63
4,1430282290,7,13,4,1431,1090,8,1,0,8,27,2,629,552,0,0,1,7,30,3,884,927,0,1,0,8,72,3,925,1439,16,1,0,11,93,4,1482,880,7,0,0,8,26,3,704,586,1,0,2,9,69,3,1169,1665,20,1,0,7,22,3,1055,638,1,0,0,9,25,5,1815,1275,18,0,0,8,8,4,1119,904,6,0,1,7,-21.0,1.0,6.0,,166.0,-81.0,181.0,1,4,2,0,46.0,182.0,-80.0,225.0,6,3,3,0,-16.0,2449,0,4,1974,3,63
5,1430284186,1,11,5,1961,1461,19,0,1,6,20,2,441,686,4,0,0,5,28,4,1874,1438,22,0,0,4,25,2,528,800,1,1,0,9,65,3,799,785,6,0,1,6,55,3,847,785,7,0,1,7,52,2,455,967,2,1,0,11,3,2,279,916,0,1,0,10,73,5,2065,2565,26,0,0,13,48,5,2029,1781,29,0,0,8,78.0,1.0,7.0,,35.0,-85.0,182.0,5,4,2,1,-27.0,2.0,-86.0,212.0,4,4,4,0,-43.0,1453,0,512,2038,0,63
8,1430293701,1,8,3,967,1136,7,1,0,8,57,4,1774,1592,19,1,0,8,7,3,904,1119,7,0,1,12,21,4,1523,1061,5,1,1,8,36,2,553,657,1,0,2,10,22,4,1958,1680,19,1,1,9,30,3,1026,704,0,0,1,8,72,3,1161,1668,19,1,0,9,101,3,681,931,6,1,1,13,47,5,2282,1998,30,1,0,16,-34.0,1.0,7.0,,229.0,-77.0,299.0,11,3,3,2,-35.0,6.0,-86.0,182.0,3,6,3,0,10.0,1968,0,1536,1983,12,63
9,1430299335,7,35,5,2117,1252,16,0,0,6,15,3,1378,1430,23,0,0,4,83,2,259,500,0,0,0,6,29,3,825,818,8,0,0,8,101,2,357,500,0,0,0,7,100,2,350,523,0,0,0,9,25,5,2323,1890,25,0,0,7,26,2,310,523,0,0,0,7,44,4,1387,1275,19,0,0,7,96,4,1408,883,8,0,0,7,,,,,,-85.0,,1,2,2,1,26.0,119.0,-61.0,,2,3,4,0,-15.0,4079,1,1540,0,63,0
11,1430308974,1,17,5,1527,906,10,0,1,7,91,3,733,499,0,0,0,4,53,4,1571,1257,8,1,0,8,72,3,939,1229,18,0,0,4,30,1,310,549,1,0,1,7,90,3,836,790,0,1,0,9,96,3,1046,925,10,0,0,9,35,5,2088,1732,18,1,0,10,19,4,1290,946,11,0,1,5,7,3,952,750,4,0,0,5,-18.0,1.0,5.0,,77.0,-81.0,180.0,4,1,2,1,9.0,,-84.0,226.0,1,3,4,0,26.0,3071,0,0,1572,0,63
12,1430316105,7,15,5,1651,1060,14,0,1,10,41,3,951,1378,19,0,0,6,74,4,1563,855,8,0,1,4,90,3,758,499,0,0,0,7,42,3,708,613,4,0,0,10,76,5,2507,1653,17,1,0,9,20,3,723,748,0,0,0,11,83,3,767,850,0,1,0,7,99,3,1336,989,12,0,0,6,52,3,846,1314,20,0,0,6,42.0,1.0,7.0,,,-79.0,,2,3,2,0,-24.0,186.0,-83.0,195.0,1,3,2,0,16.0,2384,0,0,2038,0,63
14,1430325079,1,22,5,1988,1804,21,1,0,6,25,2,537,630,3,0,0,11,1,4,1638,1965,34,0,0,9,96,4,1749,901,9,0,0,6,79,2,511,655,5,0,0,6,98,3,1170,664,4,0,0,4,13,4,1669,1088,13,0,0,6,37,2,619,550,1,0,1,8,94,2,765,1206,17,0,0,6,27,3,755,542,1,0,0,9,-8.0,0.0,0.0,,15.0,-74.0,203.0,1,6,4,0,-27.0,166.0,-83.0,,1,2,2,1,34.0,912,1,2047,1974,63,63
15,1430330210,7,27,3,819,763,12,0,2,9,52,2,488,697,9,0,2,9,82,5,2095,1602,25,1,2,4,60,3,902,868,5,0,1,6,112,2,547,615,2,0,0,8,39,5,2205,1515,12,1,0,5,31,3,1027,1151,1,1,0,9,85,3,885,1305,5,1,0,7,61,5,2777,2787,28,3,0,5,70,3,1145,1443,13,0,0,5,31.0,1.0,7.0,,45.0,-44.0,,6,4,3,3,-19.0,86.0,-71.0,229.0,0,4,2,0,142.0,1001,0,0,2047,0,63
17,1430331421,1,68,2,611,500,0,0,0,6,99,2,392,545,1,0,0,7,44,3,1015,1800,25,0,0,5,39,5,2038,1840,24,1,0,6,26,2,527,600,0,0,0,8,30,2,500,500,0,0,0,7,36,4,1650,736,6,0,1,4,67,4,1470,1599,28,0,0,8,96,4,1175,615,3,0,0,6,102,2,627,753,4,0,0,9,5.0,0.0,3.0,,58.0,-84.0,223.0,0,3,2,0,14.0,,-86.0,180.0,0,5,2,0,-43.0,3270,1,1956,0,63,0
20,1430341277,1,26,3,739,585,4,0,0,11,39,5,2448,2146,19,2,0,12,48,4,1350,1695,29,0,0,13,7,2,648,801,3,0,0,10,51,3,949,653,4,0,1,9,83,2,359,616,0,0,0,8,2,3,1235,1887,30,1,0,8,25,3,730,663,2,0,0,13,11,5,1818,1231,15,0,2,9,61,4,1655,965,13,0,0,7,102.0,0.0,1.0,,107.0,-85.0,210.0,3,1,2,2,20.0,245.0,-83.0,182.0,4,3,4,3,22.0,1584,1,1974,1542,63,15
21,1430342692,1,29,2,430,642,1,0,1,5,50,2,668,595,4,0,2,10,12,4,1277,1773,27,0,1,17,26,2,436,546,1,0,0,7,22,4,1156,995,11,0,3,6,20,2,593,1086,0,1,0,7,25,6,2852,2465,20,3,0,11,68,2,623,642,0,0,0,7,72,3,1407,2259,32,2,0,8,96,4,1679,1360,11,1,0,10,-17.0,1.0,8.0,,57.0,-86.0,,7,4,2,1,-5.0,100.0,-85.0,205.0,2,4,1,0,19.0,1957,0,1796,1983,55,63
22,1430342847,7,53,3,1221,1388,18,0,0,6,71,3,731,689,1,0,1,4,48,4,1338,1939,32,0,0,9,90,3,943,775,2,0,0,10,76,5,2147,1696,24,0,0,4,101,3,763,648,2,0,0,11,52,4,1124,1871,25,1,0,8,23,4,1606,1228,16,0,0,6,7,2,571,622,1,0,0,8,96,4,1345,778,6,0,0,9,105.0,1.0,6.0,,,-85.0,290.0,1,3,3,1,-35.0,97.0,-80.0,181.0,2,4,3,3,64.0,1994,1,2038,0,63,0
23,1430344863,1,20,3,786,1088,3,0,0,9,52,5,1842,1242,16,0,1,6,99,5,1964,1306,12,0,0,6,30,3,897,1253,0,3,0,10,28,2,598,1001,10,0,1,7,98,4,1849,1103,15,0,0,5,77,5,2239,1940,25,1,0,6,16,2,533,499,0,0,1,9,63,3,1014,1586,17,1,1,11,27,2,592,499,0,0,1,9,56.0,0.0,3.0,,183.0,-70.0,199.0,3,4,4,1,8.0,113.0,-81.0,,4,2,2,0,9.0,2144,1,1854,1792,63,48
25,1430352015,1,92,4,1435,694,5,0,1,4,50,2,551,536,1,0,0,9,81,3,757,1469,24,0,0,7,76,5,2162,1536,25,0,0,5,88,2,675,500,0,0,0,6,29,2,254,604,1,0,0,7,20,2,434,542,1,0,0,6,11,4,1718,1195,13,0,0,6,18,3,965,720,3,0,0,5,59,5,2172,1679,22,1,0,10,177.0,1.0,9.0,,,-86.0,183.0,1,2,2,0,-9.0,186.0,-78.0,215.0,1,2,2,1,5.0,2914,1,1958,512,63,3
26,1430354106,1,26,2,731,500,1,0,1,8,96,3,928,939,11,0,0,9,11,5,1738,1164,13,0,0,3,75,3,969,858,8,0,0,9,95,4,1247,1101,15,0,1,8,64,3,842,619,2,0,0,6,57,2,552,570,2,0,0,12,15,5,2047,1136,14,0,0,7,18,3,832,1214,18,0,0,9,2,6,2193,1804,12,2,0,8,136.0,1.0,9.0,,2.0,-83.0,269.0,3,4,2,1,-23.0,156.0,-84.0,208.0,2,4,2,2,-15.0,2697,1,1956,0,63,0
27,1430355047,1,88,4,1697,975,4,0,0,9,58,2,830,1227,11,1,0,2,20,2,747,666,0,0,0,9,43,5,2090,1507,23,0,1,7,72,4,1510,1536,26,0,1,12,30,3,683,952,2,0,0,5,25,6,2418,2309,23,1,1,9,90,3,662,797,4,0,0,9,49,3,714,1184,13,0,0,9,96,3,1144,1090,1,1,0,8,80.0,1.0,6.0,,181.0,-85.0,185.0,3,2,2,1,-28.0,60.0,-87.0,,4,5,2,0,45.0,2790,1,1972,1280,63,48
28,1430356392,1,104,4,1276,1259,9,1,1,8,39,4,1871,1180,15,0,0,6,91,2,300,856,0,1,2,4,31,3,857,623,3,0,0,10,99,4,1551,1563,23,0,0,9,17,5,2004,1139,16,0,0,6,68,3,872,877,0,1,1,9,93,3,1232,1906,19,2,0,11,65,4,1588,1124,18,0,0,4,7,2,357,761,0,0,1,8,131.0,0.0,2.0,,49.0,-61.0,193.0,4,3,2,0,22.0,176.0,-78.0,180.0,1,5,3,0,27.0,2036,1,1975,4,63,3
29,1430357535,1,3,2,625,789,1,0,0,7,40,3,1274,1104,14,0,0,8,11,5,2132,1649,24,0,0,9,52,3,1051,1726,17,2,0,10,57,3,661,1030,0,2,0,9,79,2,317,500,0,0,2,9,26,3,940,589,2,0,1,6,35,5,1770,1323,18,0,0,13,39,5,2016,1279,20,0,0,10,70,3,910,1052,17,0,1,8,1.0,0.0,3.0,,160.0,-73.0,236.0,3,5,2,0,-20.0,192.0,-85.0,199.0,5,2,3,0,-29.0,1924,1,2036,1536,63,3
30,1430358429,7,73,5,2081,2187,19,0,0,9,99,4,1433,1479,17,0,1,10,112,0,0,499,0,0,0,0,36,4,1194,1540,19,0,0,6,40,3,802,779,0,0,0,12,2,4,1763,678,5,0,0,6,87,3,1034,938,0,1,0,7,15,5,1878,1323,16,0,0,8,10,3,1096,1408,20,0,0,13,104,3,756,998,15,0,0,6,112.0,1.0,6.0,,2.0,-87.0,180.0,1,3,2,0,7.0,173.0,-64.0,271.0,2,3,2,0,7.0,1618,1,1975,4,63,3
31,1430363469,7,26,0,914,825,4,0,0,4,14,1,1686,1255,11,1,2,6,85,2,533,968,4,0,0,4,41,1,1035,1405,16,0,0,6,99,1,1898,967,8,0,0,6,92,0,709,743,1,0,0,0,66,1,1006,1354,18,0,0,10,52,2,1848,1641,20,0,0,4,91,1,618,876,0,0,0,7,110,1,1364,1653,12,1,0,11,6.0,1.0,9.0,,154.0,-41.0,,1,3,0,0,,55.0,-83.0,,5,4,2,0,-15.0,2129,1,1974,0,63,0
32,1430365431,1,72,5,1855,2035,35,0,0,11,91,3,741,500,0,0,1,3,21,4,1697,1368,21,0,1,8,36,3,1037,1067,12,0,1,8,30,2,652,682,3,0,0,9,38,3,824,622,3,0,0,4,50,3,743,924,3,1,0,10,22,5,1976,1584,21,1,0,7,112,3,863,739,2,0,0,5,15,3,1058,1865,24,1,0,9,0.0,1.0,9.0,,46.0,-87.0,196.0,3,3,2,1,12.0,10.0,-88.0,200.0,1,5,3,0,-28.0,1922,1,2046,1540,63,3
34,1430372971,1,110,3,802,592,1,0,1,7,3,2,363,841,1,1,0,11,7,2,615,965,3,0,0,8,39,5,2296,1755,22,1,0,8,75,5,1745,1713,16,2,0,11,21,4,1446,1022,9,0,2,8,88,3,636,753,0,1,0,8,1,3,1142,1685,27,0,0,5,26,2,534,635,0,0,0,8,51,1,629,571,1,0,2,8,105.0,0.0,4.0,,121.0,-81.0,198.0,1,5,4,1,-10.0,,-84.0,181.0,5,1,2,1,65.0,2069,1,1956,0,63,0
35,1430373522,0,36,4,1170,1384,6,2,1,6,48,3,983,1169,10,0,1,13,95,6,2561,2246,27,1,0,9,3,3,977,1111,10,0,0,12,25,3,818,934,2,0,1,11,73,4,1431,1842,13,1,1,9,79,2,711,860,5,0,1,7,46,4,1245,1262,7,2,1,6,20,4,1242,691,2,0,0,10,96,3,1156,1201,13,0,0,8,138.0,0.0,2.0,,139.0,-66.0,180.0,3,2,1,1,10.0,121.0,-85.0,245.0,3,4,2,1,-14.0,2706,0,0,1828,0,63
36,1430374551,1,58,4,1324,1338,15,0,0,11,39,4,1559,1746,28,0,0,12,49,5,2392,2039,28,1,0,9,30,2,804,849,6,1,0,4,71,2,350,578,2,0,2,6,16,2,679,827,7,0,0,3,22,5,1785,1314,16,0,1,5,48,5,1789,1706,24,1,0,12,25,2,512,1048,2,1,0,11,2,3,1356,781,10,0,1,6,145.0,1.0,8.0,,69.0,-78.0,188.0,2,5,3,1,-45.0,52.0,-88.0,183.0,3,5,3,0,-10.0,3171,0,1824,1846,60,63
38,1430375522,7,53,4,1299,1218,23,0,0,6,22,4,1591,1294,8,1,0,6,71,3,926,500,0,0,1,5,68,3,737,540,1,0,0,9,95,3,832,1067,14,0,1,7,54,3,1060,1428,19,0,0,3,96,3,1370,880,5,0,0,8,17,4,1681,1007,11,0,1,3,26,3,805,872,2,1,0,8,27,2,620,863,0,1,0,9,4.0,1.0,9.0,,178.0,-78.0,,3,3,1,0,-7.0,22.0,-54.0,298.0,2,4,1,1,-15.0,3113,0,4,1844,3,63
39,1430377785,1,8,4,1258,1706,21,1,0,6,35,5,1691,1162,17,0,1,6,68,2,559,708,2,0,0,12,96,4,1582,870,10,0,1,4,50,2,490,499,0,0,1,7,3,3,991,846,3,0,0,9,61,5,2263,2289,33,1,0,6,73,2,498,846,1,1,1,9,63,3,1028,1099,14,0,0,10,17,5,2131,1499,14,1,0,7,167.0,1.0,6.0,,,-80.0,,1,3,3,2,-7.0,162.0,-85.0,184.0,2,3,1,1,22.0,1399,0,1572,2047,63,63
